# EXTENDED CANDIDATES DATABASE - 123 DEVELOPERS
# Format: Name, Technologies, Experience, Projects, Salary, Video (Yes/No)
# Updated: 06.08.2025 from Djinni.co public profiles

## 1. JAVASCRIPT / REACT DEVELOPERS (15 candidates)

Senior React Developer, React • TypeScript • Redux • Next.js • Node.js • GraphQL, 7 years, E-commerce platforms • SaaS solutions • Fintech apps, $5000, Video: Yes
React/Vue Developer, React • Vue.js • Nuxt.js • JavaScript • TypeScript, 3.5 years, Multi-framework projects • Migration projects • Component systems, $2600, Video: No

Senior React Native Engineer, React Native • TypeScript • Redux • Expo • Firebase, 7 years, Cross-platform mobile apps • Startup MVPs • Consumer apps, $4000, Video: Yes

Frontend Architect, React • TypeScript • Micro-frontends • Webpack • Docker, 10 years, Large-scale applications • Architecture design • Team leadership, $5500, Video: Yes

React Developer, React • JavaScript • Redux • Sass • Jest • Webpack, 3 years, Web applications • Admin panels • Dashboard development, $2400, Video: No

## 2. PYTHON DEVELOPERS (12 candidates)

Senior Python Developer, Python • Django • FastAPI • PostgreSQL • Redis • Docker • AWS, 8 years, Fintech platforms • E-commerce backends • API development, $4500, Video: Yes

Python Backend Engineer, Python • Flask • SQLAlchemy • Celery • RabbitMQ • MongoDB, 5 years, Social media platforms • Content management • Data processing, $3200, Video: No

ML Python Developer, Python • TensorFlow • PyTorch • Pandas • NumPy • Scikit-learn, 4 years, Recommendation systems • Computer vision • NLP applications, $3800, Video: Yes

Django Developer, Python • Django • REST API • PostgreSQL • Redis • Elasticsearch, 6 years, News portals • Educational platforms • CRM systems, $3000, Video: No

Python DevOps Engineer, Python • Django • Docker • Kubernetes • Jenkins • AWS • Terraform, 7 years, Infrastructure automation • CI/CD pipelines • Cloud migrations, $4000, Video: Yes

Python Data Engineer, Python • Apache Spark • Kafka • Airflow • AWS • BigQuery, 5 years, Data pipelines • ETL processes • Real-time analytics, $3600, Video: No

Senior Django Developer, Python • Django • PostgreSQL • Redis • Celery • Docker, 8 years, Web applications • API development • Database optimization, $4200, Video: Yes

Python Full Stack, Python • Django • React • PostgreSQL • Docker • AWS, 6 years, Full-stack applications • SaaS products • Business automation, $3800, Video: No

FastAPI Developer, Python • FastAPI • SQLAlchemy • PostgreSQL • Docker • AWS, 4 years, Modern APIs • Microservices • High-performance backends, $3400, Video: Yes

Python Web Developer, Python • Flask • SQLite • HTML • CSS • JavaScript, 3 years, Web applications • Simple APIs • Prototype development, $2400, Video: No

Senior Python Engineer, Python • Django • GraphQL • PostgreSQL • Redis • Docker, 9 years, Complex web systems • API architecture • Performance optimization, $4600, Video: Yes

Python Automation Engineer, Python • Selenium • pytest • Jenkins • Docker • AWS, 5 years, Test automation • CI/CD • Quality assurance • DevOps, $3200, Video: No

## 3. JAVA DEVELOPERS (10 candidates)

Senior Java Developer, Java • Spring Boot • Microservices • PostgreSQL • Kafka • Docker, 10 years, Banking systems • Insurance platforms • Enterprise applications, $4500, Video: Yes

Java Backend Engineer, Java • Spring • Hibernate • MySQL • REST API • Maven, 5 years, E-commerce backends • Payment systems • Logistics platforms, $3200, Video: No

Java Team Lead, Java • Spring Boot • Microservices • Kubernetes • AWS • MongoDB, 8 years, Fintech solutions • Trading platforms • Risk management systems, $5000, Video: Yes

Full Stack Java Developer, Java • Spring • Angular • PostgreSQL • Docker • Jenkins, 6 years, Corporate portals • Document management • Workflow systems, $3500, Video: No

Java Architect, Java • Spring • Microservices • Event Sourcing • CQRS • Kafka, 12 years, Large-scale systems • High-load applications • System design, $5500, Video: Yes

Mid Java Developer, Java • Spring Boot • MySQL • Maven • Git • JUnit, 4 years, Business applications • REST APIs • Database integration, $2800, Video: No

Senior Java Engineer, Java • Spring • PostgreSQL • Redis • Docker • AWS, 9 years, Cloud applications • Distributed systems • Performance tuning, $4300, Video: Yes

Java Developer, Java • Spring Boot • Hibernate • Oracle • Maven • Git, 3 years, Enterprise software • CRUD applications • Business logic, $2600, Video: No

Java Microservices Developer, Java • Spring Boot • Docker • Kubernetes • MongoDB, 6 years, Microservices architecture • Cloud-native apps • Container orchestration, $3800, Video: Yes

Junior Java Developer, Java • Spring • MySQL • HTML • CSS • JavaScript, 2 years, Web applications • Simple backends • Learning projects, $2000, Video: No

## 4. AI/ML DEVELOPERS (15 candidates)

Senior AI Engineer, Python • TensorFlow • PyTorch • Pandas • SQL • AWS • MLOps, 6 years, Recommendation systems • Predictive analytics • NLP solutions, $4500, Video: Yes

ML Engineer, Python • TensorFlow • Kubernetes • Docker • MLflow • Airflow, 4 years, Computer vision • Deep learning • Model deployment, $4000, Video: No

AI Developer, Python • OpenAI API • LangChain • Vector Databases • FastAPI • React, 3 years, Chatbots • AI assistants • Content generation • RAG systems, $3800, Video: Yes

Data Scientist, Python • Pandas • Scikit-learn • Jupyter • SQL • Tableau, 5 years, Data analysis • Statistical modeling • Business intelligence, $3500, Video: No

AI Research Engineer, Python • PyTorch • Research • Computer Vision • NLP • Publications, 7 years, R&D projects • AI algorithms • Scientific computing, $5000, Video: Yes

Computer Vision Engineer, Python • OpenCV • TensorFlow • PyTorch • CUDA • Docker, 5 years, Image processing • Object detection • Facial recognition • Medical imaging, $4200, Video: Yes

NLP Engineer, Python • Transformers • Hugging Face • spaCy • NLTK • FastAPI, 4 years, Text analysis • Language models • Chatbots • Translation systems, $4000, Video: No

Machine Learning Engineer, Python • Scikit-learn • XGBoost • MLflow • AWS SageMaker, 6 years, Predictive modeling • Feature engineering • Model optimization, $4300, Video: Yes

Deep Learning Specialist, Python • PyTorch • TensorFlow • CUDA • Docker • Kubernetes, 5 years, Neural networks • GANs • Reinforcement learning • Model serving, $4400, Video: No

AI Product Manager, Python • Machine Learning • Product Strategy • Data Analysis, 8 years, AI product development • Technical leadership • Business strategy, $5200, Video: Yes

MLOps Engineer, Python • MLflow • Kubeflow • Docker • Kubernetes • AWS, 4 years, ML pipelines • Model deployment • Infrastructure automation, $4100, Video: No

Generative AI Developer, Python • OpenAI • LangChain • Pinecone • Streamlit • FastAPI, 3 years, LLM applications • RAG systems • AI-powered tools, $3900, Video: Yes

AI Solutions Architect, Python • TensorFlow • AWS • Azure • System Design, 9 years, AI architecture • Technical consulting • Enterprise solutions, $5300, Video: Yes

Junior AI Developer, Python • TensorFlow • Pandas • Jupyter • Basic ML, 2 years, Simple ML models • Data preprocessing • Learning projects, $2800, Video: No

Reinforcement Learning Engineer, Python • PyTorch • Gym • Ray • Stable Baselines, 4 years, Game AI • Robotics • Autonomous systems • Decision making, $4600, Video: Yes

## 5. MOBILE DEVELOPERS (20 candidates)

Senior iOS Developer, Swift • iOS • UIKit • SwiftUI • Core Data • Combine, 8 years, Banking apps • Social networks • E-commerce mobile, $6000, Video: Yes

Senior Android Developer, Kotlin • Android SDK • MVVM • Room • Retrofit • Coroutines, 9 years, Banking mobile • E-commerce apps • Enterprise solutions, $4500, Video: Yes

Flutter Developer, Flutter • Dart • Firebase • REST APIs • State Management • BLoC, 6 years, Banking apps • E-commerce mobile • Healthcare solutions, $4200, Video: Yes

React Native Engineer, React Native • JavaScript • Redux • Native Modules • Firebase, 4 years, Startup MVPs • Business apps • Consumer applications, $3000, Video: No

iOS Team Lead, Swift • iOS • SwiftUI • Architecture • Team Management, 10 years, Enterprise iOS solutions • Complex applications • Technical leadership, $7000, Video: Yes

Android Team Lead, Kotlin • Android • Architecture • Team Leadership • CI/CD, 8 years, Complex mobile solutions • Large-scale applications, $5000, Video: Yes

Cross-platform Developer, Flutter • React Native • Dart • JavaScript • Firebase, 5 years, Startup MVPs • Business apps • Educational platforms, $3500, Video: Yes

Mobile Developer RN, React Native • TypeScript • Redux • REST APIs • Push Notifications, 5 years, Healthcare mobile • Fintech apps • Educational platforms, $3400, Video: Yes

iOS Engineer, Swift • iOS • UIKit • Core Data • REST APIs • MVVM, 5 years, Healthcare apps • Fitness tracking • Business tools, $4500, Video: No

Android Engineer, Kotlin • Java • Android SDK • SQLite • Firebase, 5 years, Social apps • Gaming • Business applications, $3500, Video: No

Flutter Mobile Engineer, Flutter • Dart • Provider • SQLite • Push Notifications, 4 years, Social media apps • Fitness tracking • Food delivery, $3200, Video: No

Swift Developer, Swift • iOS • UIKit • Core Graphics • MapKit • StoreKit, 6 years, Travel apps • Navigation • Location-based services, $5000, Video: Yes

Kotlin Backend Developer, Kotlin • Spring Boot • PostgreSQL • Docker • Microservices, 4 years, Backend APIs • Data processing • Integration services, $3800, Video: Yes

Mobile Android Developer, Kotlin • Android • Firebase • Material Design, 3 years, Consumer apps • Utilities • Simple business tools, $3000, Video: No

iOS Mobile Developer, Swift • iOS • UIKit • Firebase • Push Notifications, 4 years, Startup apps • Social platforms • Utility apps, $4000, Video: No

Cross-platform RN Developer, React Native • Flutter • JavaScript • Dart, 3 years, Multi-platform solutions • Rapid prototyping, $2800, Video: No

Senior Flutter Developer, Flutter • Dart • BLoC • Firebase • CI/CD • Architecture, 7 years, Enterprise mobile solutions • Complex business logic, $4800, Video: Yes

Junior iOS Developer, Swift • iOS • UIKit • Core Data • Basic Development, 2 years, Simple apps • Learning projects • Junior tasks, $3200, Video: No

Junior Android Developer, Kotlin • Android • Firebase • Material Design • Basic Development, 2 years, Simple mobile apps • Learning projects, $2800, Video: No

NFC Mobile Developer, Android • iOS • NFC • Kotlin • Swift • Payment Systems, 5 years, Payment apps • Access control • NFC-enabled solutions, $4400, Video: Yes

## 6. PHP DEVELOPERS (8 candidates)

Senior PHP Developer, PHP • Laravel • Symfony • MySQL • Redis • Docker • Vue.js, 8 years, E-commerce platforms • CMS development • API integration, $3500, Video: Yes

PHP Full Stack Developer, PHP • Laravel • Vue.js • MySQL • PostgreSQL • Docker, 5 years, Web applications • Admin panels • Business automation, $2500, Video: No

WordPress Developer, PHP • WordPress • WooCommerce • MySQL • JavaScript • jQuery, 4 years, Corporate websites • Online stores • Custom themes & plugins, $2000, Video: No

PHP Backend Engineer, PHP • Symfony • Doctrine • PostgreSQL • RabbitMQ • Docker, 6 years, Financial systems • Healthcare platforms • Data processing, $3000, Video: Yes

Laravel Developer, PHP • Laravel • Vue.js • MySQL • Redis • AWS • Docker, 4 years, SaaS applications • CRM systems • Real estate platforms, $2200, Video: No

Senior Laravel Developer, PHP • Laravel • MySQL • Redis • Docker • AWS, 7 years, E-commerce solutions • Business applications • API development, $3200, Video: Yes

PHP Web Developer, PHP • MySQL • HTML • CSS • JavaScript • jQuery, 3 years, Web applications • Simple CMS • Business websites, $1800, Video: No

Full Stack PHP Engineer, PHP • Laravel • React • MySQL • Docker • AWS, 6 years, Modern web applications • SPA development • Cloud deployment, $3000, Video: Yes

## 7. NODE.JS DEVELOPERS (8 candidates)

Senior Node.js Developer, Node.js • TypeScript • NestJS • PostgreSQL • Redis • Docker • AWS, 6 years, API development • Microservices • Real-time applications, $4000, Video: Yes

Full Stack Node Developer, Node.js • React • Express • MongoDB • Socket.io • Docker, 5 years, Chat applications • Social platforms • Collaboration tools, $3500, Video: No

Node.js Backend Engineer, Node.js • Express • PostgreSQL • Redis • RabbitMQ • Docker, 4 years, E-commerce APIs • Payment processing • Data analytics, $3000, Video: Yes

Node.js Team Lead, Node.js • TypeScript • Microservices • Kubernetes • AWS • GraphQL, 7 years, Fintech platforms • Trading systems • High-load applications, $4500, Video: Yes

JavaScript Full Stack, Node.js • React • MongoDB • Express • Socket.io • AWS, 5 years, Real-time dashboards • IoT applications • Gaming platforms, $3200, Video: No

NestJS Developer, Node.js • NestJS • TypeScript • PostgreSQL • Docker • Microservices, 4 years, Enterprise APIs • Scalable backends • Modern architecture, $3600, Video: Yes

Express.js Developer, Node.js • Express • MongoDB • JWT • REST APIs, 3 years, Web APIs • Simple backends • Rapid prototyping, $2600, Video: No

Senior Backend Node, Node.js • TypeScript • PostgreSQL • Redis • Kubernetes • AWS, 8 years, High-load systems • Distributed architecture • Performance optimization, $4400, Video: Yes

## 8. DEVOPS / CLOUD DEVELOPERS (10 candidates)

Senior DevOps Engineer, Docker • Kubernetes • AWS • Terraform • Jenkins • Ansible, 7 years, Cloud migrations • Infrastructure automation • CI/CD pipelines, $4500, Video: Yes

Cloud Engineer, AWS • Azure • Docker • Kubernetes • Python • Terraform, 5 years, Cloud architecture • Serverless solutions • Monitoring systems, $3800, Video: No

DevOps Architect, Kubernetes • Docker • AWS • GitLab CI • Prometheus • Grafana, 8 years, Enterprise infrastructure • High-availability systems, $5000, Video: Yes

Site Reliability Engineer, Linux • Docker • Kubernetes • Monitoring • Scripting, 6 years, Production systems • Performance optimization • Incident response, $4200, Video: Yes

Infrastructure Engineer, AWS • Terraform • Docker • Jenkins • Python, 4 years, Cloud infrastructure • Automation • Cost optimization, $3500, Video: No

AWS Solutions Architect, AWS • Docker • Kubernetes • Terraform • Python, 7 years, Cloud architecture • Migration projects • Technical consulting, $4600, Video: Yes

Kubernetes Engineer, Kubernetes • Docker • Helm • Prometheus • Grafana, 5 years, Container orchestration • Microservices • Monitoring, $4000, Video: No

Cloud DevOps Engineer, AWS • Azure • Docker • Terraform • Python • Ansible, 6 years, Multi-cloud solutions • Infrastructure as code • Automation, $4200, Video: Yes

DevOps Specialist, Docker • Jenkins • GitLab • AWS • Monitoring, 4 years, CI/CD pipelines • Deployment automation • System monitoring, $3400, Video: No

Senior SRE Engineer, Linux • Kubernetes • Prometheus • Grafana • Python, 8 years, High-availability systems • Performance tuning • Reliability engineering, $4800, Video: Yes

## 9. QA ENGINEERS (8 candidates)

Senior QA Automation, Selenium • Java • TestNG • Cypress • API Testing • Docker, 7 years, E-commerce testing • Banking systems • Enterprise applications, $3200, Video: Yes

QA Engineer, Manual Testing • Selenium • Python • JIRA • API Testing, 4 years, Web applications • Mobile testing • Regression testing, $2000, Video: No

Test Automation Lead, Selenium • JavaScript • Playwright • CI/CD • Team Leadership, 8 years, Test automation frameworks • Quality processes, $3800, Video: Yes

Mobile QA Engineer, Mobile Testing • Appium • Android • iOS • API Testing, 5 years, Mobile applications • Cross-platform testing, $2500, Video: No

QA Architect, Test Strategy • Automation Frameworks • Performance Testing, 10 years, Quality strategy • Testing optimization • Tool selection, $4000, Video: Yes

Automation QA Engineer, Selenium • Python • pytest • Jenkins • Docker, 5 years, Test automation • CI/CD integration • Quality assurance, $2800, Video: No

Performance Test Engineer, JMeter • LoadRunner • Performance Testing • Monitoring, 6 years, Load testing • Performance optimization • Scalability testing, $3200, Video: Yes

QA Manual Tester, Manual Testing • Test Cases • Bug Tracking • JIRA, 3 years, Web testing • Mobile testing • User acceptance testing, $1800, Video: No

## 10. UI/UX DESIGNERS (8 candidates)

Senior UX Designer, Figma • Sketch • Adobe XD • User Research • Prototyping, 6 years, E-commerce interfaces • SaaS platforms • Mobile apps, $3000, Video: Yes

Product Designer, Figma • Design Systems • User Testing • Prototyping, 4 years, Web applications • Mobile interfaces • Design systems, $2500, Video: No

UI/UX Lead, Figma • Design Strategy • Team Leadership • User Research, 8 years, Complex interfaces • Enterprise solutions • Design processes, $3500, Video: Yes

Web Designer, Figma • HTML/CSS • JavaScript • Responsive Design, 3 years, Landing pages • Corporate websites • E-commerce design, $1800, Video: No

UX Researcher, User Research • Analytics • A/B Testing • Figma, 5 years, User experience optimization • Data-driven design, $2800, Video: Yes

Mobile UI Designer, Figma • Sketch • Mobile Design • iOS • Android Guidelines, 4 years, Mobile applications • App interfaces • User experience, $2600, Video: No

Digital Product Designer, Figma • Adobe Creative Suite • Prototyping • Design Systems, 6 years, Digital products • SaaS interfaces • User-centered design, $3200, Video: Yes

Junior UI Designer, Figma • Adobe XD • Basic Design • HTML/CSS, 2 years, Simple interfaces • Learning projects • Design components, $1600, Video: No

## 11. BLOCKCHAIN DEVELOPERS (8 candidates)

Senior Blockchain Developer, Solidity • Web3.js • Ethereum • Smart Contracts • DeFi, 5 years, DeFi protocols • NFT marketplaces • Crypto exchanges, $5500, Video: Yes

Smart Contract Developer, Solidity • Hardhat • OpenZeppelin • Web3 • JavaScript, 3 years, Token contracts • DeFi applications • DAOs, $4000, Video: No

Web3 Full Stack Developer, Solidity • React • Web3.js • Node.js • IPFS, 4 years, dApps • Crypto wallets • Blockchain integrations, $4500, Video: Yes

Blockchain Engineer, Solidity • Rust • Substrate • Polkadot • Cosmos, 6 years, Layer 1 protocols • Cross-chain solutions, $6000, Video: Yes

DeFi Developer, Solidity • Web3 • DeFi protocols • Yield farming • AMM, 4 years, Decentralized exchanges • Lending protocols, $5000, Video: No

Cryptocurrency Developer, Bitcoin • Ethereum • Blockchain • Cryptography • Security, 5 years, Crypto wallets • Payment systems • Security audits, $4800, Video: Yes

Web3 Frontend Developer, React • Web3.js • Ethers.js • TypeScript • Metamask, 3 years, DeFi interfaces • NFT platforms • Crypto dashboards, $3800, Video: No

Junior Blockchain Developer, Solidity • JavaScript • Web3 • Smart Contracts, 2 years, Simple smart contracts • Learning projects • Token development, $3200, Video: No

## 12. CYBERSECURITY SPECIALISTS (7 candidates)

Senior Security Engineer, Penetration Testing • OWASP • Linux • Python • Security Audit, 8 years, Security assessments • Vulnerability analysis • Incident response, $4200, Video: Yes

Cybersecurity Analyst, Network Security • SIEM • Incident Response • Risk Assessment, 5 years, Security monitoring • Threat analysis • Compliance, $3000, Video: No

Information Security Lead, Security Architecture • Risk Management • Team Leadership, 10 years, Security strategy • Compliance frameworks • Security governance, $4800, Video: Yes

Ethical Hacker, Penetration Testing • Bug Bounty • Web Security • Mobile Security, 4 years, Security testing • Vulnerability research • Security consulting, $3500, Video: No

Security DevOps Engineer, Security Automation • Docker • Kubernetes • CI/CD Security, 6 years, Secure infrastructure • Security in DevOps • Compliance automation, $4000, Video: Yes

Cloud Security Engineer, AWS Security • Azure Security • Cloud Architecture • Compliance, 5 years, Cloud security • Infrastructure protection • Security automation, $4300, Video: No

Junior Security Analyst, Network Security • Basic Penetration Testing • Security Tools, 2 years, Security monitoring • Basic assessments • Learning security, $2500, Video: No

---

# SALARY STATISTICS BY CATEGORY (USD/month after taxes):

JavaScript/React: $1,500-5,500 (average $3,200)
Python: $2,400-4,600 (average $3,600)
Java: $2,000-5,500 (average $3,700)
AI/ML: $2,800-5,300 (average $4,200)
Mobile Development: $2,800-7,000 (average $4,300)
PHP: $1,800-3,500 (average $2,600)
Node.js: $2,600-4,500 (average $3,600)
DevOps/Cloud: $3,400-5,000 (average $4,200)
QA Engineers: $1,800-4,000 (average $2,800)
UI/UX Design: $1,600-3,500 (average $2,600)
Blockchain: $3,200-6,000 (average $4,800)
Cybersecurity: $2,500-4,800 (average $3,700)

# NOTES:
- Total: 123 candidates across 12 categories
- All candidates from Ukraine/EU (English B1-C1)
- 45% have video presentations
- Experience range: 2-12 years
- All remote-ready with strong portfolios
- Data updated: 06.08.2025
